video_id,title,published_at,view_count,like_count,comment_count,duration,fetched_at
JXOdrjEC3ok,o que aconteceu com a BANDEIRA na LUA?,2024-08-03T15:00:26Z,38297169,2225539,7808,PT48S,2025-11-09T02:45:13.491029
OUTsMxLcLpc,quanto SAL existe no OCEANO?,2024-05-28T15:00:17Z,21382945,1292413,3914,PT1M,2025-11-09T02:45:13.948010
915Y5iUT9AA,quantos BURACOS tem um CANUDINHO?,2024-05-11T15:15:26Z,18527806,1002002,104891,PT1M,2025-11-09T02:45:13.948116
82zIQ4w4Ke8,a ILHA mais PERIGOSA do MUNDO,2024-02-02T14:00:10Z,15246770,1061982,6226,PT56S,2025-11-09T02:45:14.395075
GUZgifRmWc4,Como um CPF é GERADO,2024-07-13T15:01:54Z,14858663,1214109,4770,PT51S,2025-11-09T02:45:13.722602
TFDoPZcXtnY,o objeto MAIS RÁPIDO da TERRA,2024-01-10T20:00:09Z,14479228,1090541,6254,PT56S,2025-11-09T02:45:14.395195
MtdFvQdRRYM,a superfície MAIS LISA já feita por humanos,2024-05-26T15:00:24Z,14015975,970653,3708,PT59S,2025-11-09T02:45:13.948022
XC35ckAUgEs,para onde vai a GORDURA que a gente QUEIMA?,2024-06-12T15:00:35Z,13900495,983034,21763,PT45S,2025-11-09T02:45:13.722807
MC5yyBBO1Xc,o que encontraram onde a primeira BOMBA NUCLEAR explodiu,2024-08-01T19:00:11Z,13779329,956994,1407,PT49S,2025-11-09T02:45:13.722481
oG0bUfWO_0g,uma FOLHA dobrada 103 vezes fica MAIOR que o UNIVERSO,2023-03-05T20:00:12Z,13563859,916017,26112,PT59S,2025-11-09T02:45:15.680724
lqcmTJPfavI,quantas ESPONJAS para SECAR a TERRA?,2024-04-11T20:00:23Z,13396904,823430,3898,PT59S,2025-11-09T02:45:14.145055
mbnTOt9gO3Y,o que aconteceria se TODO MUNDO ligasse o AR-CONDICIONADO ao mesmo tempo?,2024-07-03T15:00:51Z,13297781,1139427,2667,PT59S,2025-11-09T02:45:13.722661
AQ0EEfyzpMU,o que foi encontrado no buraco MAIS PROFUNDO da TERRA,2024-01-06T20:00:06Z,13142023,826471,4109,PT55S,2025-11-09T02:45:14.395216
O7pqYRV3oPE,esse METEORO vai bater na TERRA?,2025-02-11T20:17:52Z,12333161,745798,4714,PT1M5S,2025-11-09T02:45:13.252254
F-vM5yzjxKI,é verdade que BARATAS sobrevivem a BOMBAS ATÔMICAS?,2024-06-18T15:00:22Z,12010628,1263951,4209,PT57S,2025-11-09T02:45:13.722770
yT_eqfUWyS8,é verdade que essa USINA altera a ROTAÇÃO da TERRA?,2024-03-17T15:00:57Z,11828268,900925,5006,PT56S,2025-11-09T02:45:14.145189
eYfgZg8vMP0,qual a COR de um ESPELHO?,2024-04-13T20:00:09Z,11773309,873266,3193,PT51S,2025-11-09T02:45:13.948256
eJYaDGua_mk,por que um dia TEM 24 HORAS?,2024-07-11T21:00:33Z,11722230,869072,2710,PT58S,2025-11-09T02:45:13.722616
ogN2W0w61_A,Por que ISAAC NEWTON enfiou uma AGULHA no próprio OLHO,2023-01-03T20:00:19Z,11038892,884477,3381,PT57S,2025-11-09T02:45:15.907033
V55idEPgaC4,por que FORMIGAS sobrevivem ao MICROONDAS?,2024-05-10T12:00:27Z,10804077,854295,1681,PT54S,2025-11-09T02:45:13.948123
Kc76iYmNLio,o que aconteceria se EXPLODÍSSEMOS todas as BOMBAS NUCLEARES no SOL?,2024-05-20T21:00:10Z,10652297,825984,5226,PT1M,2025-11-09T02:45:13.948061
wL3AEwKYStU,o que tem DENTRO de um FORMIGUEIRO?,2024-02-21T15:00:50Z,10456415,664604,2425,PT50S,2025-11-09T02:45:14.145312
17RiTtLq9TE,"se isso acontecer com você, CORRA para um lugar seguro",2024-03-13T15:00:02Z,9771484,664552,4262,PT48S,2025-11-09T02:45:14.145206
DiGqjYkRQ6o,Chernobyl: A História Completa,2019-06-16T21:57:43Z,9629876,477693,10814,PT31M37S,2025-11-09T02:45:18.433805
kvhHM5rO7VE,Qual é o ser vivo MAIS VELHO do mundo? #Shorts,2022-06-01T16:17:23Z,9541783,855565,8888,PT59S,2025-11-09T02:45:16.976011
oWbo-7vU4JI,Qual é a MAIOR TEMPERATURA do Universo? #Shorts,2022-04-14T15:24:12Z,9490518,899496,7398,PT1M,2025-11-09T02:45:16.976236
JYyNexmzpws,e se um CARRO fosse movido a URÂNIO?,2024-06-21T15:00:18Z,8775668,736503,6191,PT1M,2025-11-09T02:45:13.722737
93g4CtuIJYE,Como enxergar SEM ÓCULOS!,2024-03-20T15:00:16Z,8750374,583981,6633,PT46S,2025-11-09T02:45:14.145171
aC-E71B5_Lk,o quão GRANDE é UM BILHÃO?,2023-01-30T20:00:00Z,8595978,900923,5472,PT1M,2025-11-09T02:45:15.906933
ZtHYWzPNsxg,Esse TUBARÃO vive 500 anos,2024-07-09T15:00:27Z,8465733,710080,5470,PT58S,2025-11-09T02:45:13.722632
ECd0Wc36xEo,esse material SÓ EXISTE em NAVIOS AFUNDADOS,2024-01-19T20:00:05Z,8407296,616722,1107,PT54S,2025-11-09T02:45:14.395147
UnXELYIr6LQ,você já viveu isso antes?,2024-03-05T16:38:42Z,8315799,717461,19099,PT47S,2025-11-09T02:45:14.145253
Lwk3S3MbCcw,"Se o homem veio do macaco, por que ainda existem macacos?",2024-06-05T15:00:21Z,8127801,613909,14908,PT53S,2025-11-09T02:45:13.947956
c_P2oxIE9to,o seu CELULAR contém 70 ÁTOMOS da tabela periódica,2024-06-11T15:00:37Z,7911720,829935,2669,PT1M,2025-11-09T02:45:13.722813
frxQLi5sgyQ,O que é o INFINITO? #shorts,2022-11-09T20:00:14Z,7242715,886677,6477,PT1M,2025-11-09T02:45:16.197477
zdU3A5CGjVs,por que as VEIAS são AZUIS se o sangue é VERMELHO?,2024-05-06T21:30:04Z,7111995,598582,5291,PT57S,2025-11-09T02:45:13.948148
Q_7yscxYky0,Essa NÃO É a cor do tanque do ônibus espacial!,2024-06-04T15:00:23Z,6920834,521796,3093,PT1M,2025-11-09T02:45:13.947963
RRfm-xhZOIo,o PRIMEIRO objeto INTERESTELAR a nos VISITAR,2024-02-10T15:00:30Z,6891309,474874,2393,PT50S,2025-11-09T02:45:14.395016
gZ6E8Nhzy4o,quantos QUILÔMETROS você vai caminhar na VIDA?,2024-02-14T20:00:15Z,6862701,468933,1645,PT41S,2025-11-09T02:45:14.394997
95ClnxzR_Kw,o que aconteceria se TODO MUNDO BERRASSE ao mesmo tempo?,2024-04-24T15:00:16Z,6733630,532719,5436,PT1M,2025-11-09T02:45:13.948206
ORNmZzC-4iE,como QUEBRAR uma RÉGUA usando a ATMOSFERA,2024-04-17T15:00:25Z,6699203,585481,1886,PT56S,2025-11-09T02:45:13.948230
n_tDQcZa9Ps,nós perdemos a receita do AÇO de DAMASCO,2024-06-13T21:00:34Z,6618181,587011,1776,PT1M,2025-11-09T02:45:13.722801
3AFHxMoqy_U,a PLANTA mais PERIGOSA do mundo,2024-09-13T15:00:03Z,6361473,637311,6598,PT57S,2025-11-09T02:45:13.490882
Lv-Qqp6S7mE,por que vemos LUZES quando APERTAMOS os OLHOS?,2024-06-01T00:00:17Z,6354070,479130,3082,PT57S,2025-11-09T02:45:13.947991
xeAObOrX0Wg,como ver a TERRA no PASSADO?,2024-09-18T15:00:55Z,6341330,496493,2212,PT59S,2025-11-09T02:45:13.490859
0WYv7KeyGuY,por que temos CÃIBRA?,2024-11-12T18:59:50Z,6280622,740731,9277,PT1M,2025-11-09T02:45:13.252415
MMWA1k7UnP0,o TITANIC está DESAPARECENDO,2024-05-01T12:00:28Z,6254684,382724,1640,PT58S,2025-11-09T02:45:13.948174
w8ubiJXVFqA,por que SATÉLITES não fazem SOMBRA na TERRA?,2024-04-04T15:00:49Z,6247474,432317,2943,PT1M,2025-11-09T02:45:14.145092
PNr-6GIidDM,o que acontece se você NUNCA MAIS DORMIR?,2024-06-28T15:00:25Z,6225701,616501,2989,PT59S,2025-11-09T02:45:13.722689
LuhYl_HDa-0,NINGUÉM saber fazer um LÁPIS?,2024-07-27T15:00:31Z,5890309,575083,5639,PT1M,2025-11-09T02:45:13.722517
vU3TR6hlenQ,a MAIOR tempestade do UNIVERSO,2024-04-02T15:00:46Z,5847664,482142,7999,PT59S,2025-11-09T02:45:14.145104
